%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1480963580093229338,1,1480963580072695970,/gps,0,1,42.2938118333,-71.26366,87.4,1.8769,0.0,0.0,0.0,1.8769,0.0,0.0,0.0,7.5076,1
1480963581093633956,2,1480963581073843955,/gps,0,1,42.293812,-71.2636601667,87.2,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963582093785117,3,1480963582076095104,/gps,0,1,42.2938123333,-71.2636603333,86.9,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963583094235331,4,1480963583073432922,/gps,0,1,42.2938125,-71.2636603333,86.6,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963584094257281,5,1480963584073719978,/gps,0,1,42.2938123333,-71.2636601667,86.3,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963585094499750,6,1480963585072293043,/gps,0,1,42.2938126667,-71.2636606667,86.2,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963586094726603,7,1480963586076977968,/gps,0,1,42.2938126667,-71.263661,86.2,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963587095121198,8,1480963587073633909,/gps,0,1,42.2938126667,-71.2636611667,86.2,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963588095339560,9,1480963588073295116,/gps,0,1,42.2938125,-71.2636611667,86.3,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963589095407176,10,1480963589074809074,/gps,0,1,42.2938125,-71.2636606667,86.1,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963590096010054,11,1480963590075510025,/gps,0,1,42.2938121667,-71.2636598333,86.0,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963591096310537,12,1480963591077660083,/gps,0,1,42.2938123333,-71.2636596667,86.0,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963592096498112,13,1480963592076524972,/gps,0,1,42.293813,-71.2636598333,86.1,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963593096834719,14,1480963593075249910,/gps,0,1,42.2938135,-71.2636593333,86.0,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963594097074922,15,1480963594076483011,/gps,0,1,42.2938141667,-71.2636591667,86.1,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963595097521662,16,1480963595077081918,/gps,0,1,42.2938195,-71.263654,86.2,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963596097741208,17,1480963596073286056,/gps,0,1,42.2938201667,-71.263651,86.2,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963597098106657,18,1480963597078669071,/gps,0,1,42.293819,-71.263651,86.1,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
1480963598098452555,19,1480963598078489065,/gps,0,1,42.2938181667,-71.26365,85.9,1.3225,0.0,0.0,0.0,1.3225,0.0,0.0,0.0,5.29,1
